4747, none, minecraft:the_void, CREATURE, ars_nouveau:drygmy, 10, 1, 1
4807, plains, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 50, 4, 4
4808, plains, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 50, 4, 4
4809, plains, minecraft:sunflower_plains, MONSTER, minecraft:slime, 50, 4, 4
4810, plains, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
4811, plains, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
4812, plains, minecraft:sunflower_plains, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
4813, plains, minecraft:sunflower_plains, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
4814, plains, minecraft:sunflower_plains, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
4815, plains, minecraft:sunflower_plains, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
4816, plains, minecraft:sunflower_plains, MONSTER, savage_and_ravage:skeleton_villager, 10, 1, 1
4817, plains, minecraft:sunflower_plains, MONSTER, alexsmobs:centipede_head, 15, 1, 1
4818, plains, minecraft:sunflower_plains, MONSTER, quark:toretoise, 50, 2, 4
4819, plains, minecraft:sunflower_plains, MONSTER, quark:stoneling, 50, 1, 1
4820, plains, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 4, 4
4821, plains, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 4, 4
4822, plains, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 4, 4
4823, plains, minecraft:sunflower_plains, CREATURE, minecraft:cow, 10, 4, 4
4824, plains, minecraft:sunflower_plains, CREATURE, minecraft:horse, 10, 2, 6
4825, plains, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 10, 1, 3
4826, plains, minecraft:sunflower_plains, CREATURE, earthmobsmod:fancy_chicken, 10, 3, 6
4827, plains, minecraft:sunflower_plains, CREATURE, earthmobsmod:duck, 10, 3, 6
4828, plains, minecraft:sunflower_plains, CREATURE, earthmobsmod:hyper_rabbit, 10, 3, 4
4829, plains, minecraft:sunflower_plains, CREATURE, earthmobsmod:jumbo_rabbit, 10, 3, 4
4830, plains, minecraft:sunflower_plains, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
4831, plains, minecraft:sunflower_plains, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
4832, plains, minecraft:sunflower_plains, CREATURE, ars_nouveau:drygmy, 10, 1, 1
4833, plains, minecraft:sunflower_plains, CREATURE, buzzier_bees:moobloom, 40, 2, 4
4834, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:hummingbird, 19, 7, 7
4835, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
4836, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:crow, 10, 3, 5
4837, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:bison, 14, 6, 10
4838, plains, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
4839, plains, minecraft:sunflower_plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
4840, plains, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
4841, plains, minecraft:sunflower_plains, WATER_AMBIENT, sullysmod:lanternfish, 10, 1, 5
4842, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
4843, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
4844, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
4845, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
4846, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
4847, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
4848, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
4849, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
4850, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
4851, plains, minecraft:sunflower_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
4852, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 50, 4, 4
4853, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 50, 4, 4
4854, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
4855, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
4856, icy, minecraft:snowy_plains, MONSTER, minecraft:creeper, 50, 4, 4
4857, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 50, 4, 4
4858, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
4859, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
4860, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 50, 4, 4
4861, icy, minecraft:snowy_plains, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
4862, icy, minecraft:snowy_plains, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
4863, icy, minecraft:snowy_plains, MONSTER, thermal:blizz, 10, 1, 3
4864, icy, minecraft:snowy_plains, MONSTER, ars_nouveau:wilden_guardian, 50, 1, 1
4865, icy, minecraft:snowy_plains, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
4866, icy, minecraft:snowy_plains, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
4867, icy, minecraft:snowy_plains, MONSTER, savage_and_ravage:iceologer, 10, 1, 1
4868, icy, minecraft:snowy_plains, MONSTER, savage_and_ravage:skeleton_villager, 10, 1, 1
4869, icy, minecraft:snowy_plains, MONSTER, alexsmobs:centipede_head, 15, 1, 1
4870, icy, minecraft:snowy_plains, MONSTER, quark:toretoise, 50, 2, 4
4871, icy, minecraft:snowy_plains, MONSTER, quark:stoneling, 50, 1, 1
4872, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
4873, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 10, 1, 2
4874, icy, minecraft:snowy_plains, CREATURE, earthmobsmod:wooly_cow, 10, 3, 6
4875, icy, minecraft:snowy_plains, CREATURE, earthmobsmod:umbra_cow, 10, 3, 6
4876, icy, minecraft:snowy_plains, CREATURE, cnb:yeti, 10, 2, 3
4877, icy, minecraft:snowy_plains, CREATURE, ars_nouveau:drygmy, 10, 1, 1
4878, icy, minecraft:snowy_plains, CREATURE, alexsmobs:moose, 10, 3, 4
4879, icy, minecraft:snowy_plains, CREATURE, alexsmobs:tusklin, 18, 3, 5
4880, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
4881, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
4882, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
4883, icy, minecraft:snowy_plains, WATER_AMBIENT, sullysmod:lanternfish, 10, 1, 5
4884, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
4885, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
4886, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
4887, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
4888, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
4889, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
4890, icy, minecraft:snowy_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
4891, icy, minecraft:ice_spikes, MONSTER, minecraft:spider, 50, 4, 4
4892, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie, 50, 4, 4
4893, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 10, 1, 1
4894, icy, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 20, 4, 4
4895, icy, minecraft:ice_spikes, MONSTER, minecraft:creeper, 50, 4, 4
4896, icy, minecraft:ice_spikes, MONSTER, minecraft:slime, 50, 4, 4
4897, icy, minecraft:ice_spikes, MONSTER, minecraft:enderman, 5, 1, 4
4898, icy, minecraft:ice_spikes, MONSTER, minecraft:witch, 5, 1, 1
4899, icy, minecraft:ice_spikes, MONSTER, minecraft:stray, 50, 4, 4
4900, icy, minecraft:ice_spikes, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
4901, icy, minecraft:ice_spikes, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
4902, icy, minecraft:ice_spikes, MONSTER, thermal:blizz, 10, 1, 3
4903, icy, minecraft:ice_spikes, MONSTER, ars_nouveau:wilden_guardian, 50, 1, 1
4904, icy, minecraft:ice_spikes, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
4905, icy, minecraft:ice_spikes, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
4906, icy, minecraft:ice_spikes, MONSTER, savage_and_ravage:iceologer, 10, 1, 1
4907, icy, minecraft:ice_spikes, MONSTER, savage_and_ravage:skeleton_villager, 10, 1, 1
4908, icy, minecraft:ice_spikes, MONSTER, alexsmobs:centipede_head, 15, 1, 1
4909, icy, minecraft:ice_spikes, MONSTER, quark:toretoise, 50, 2, 4
4910, icy, minecraft:ice_spikes, MONSTER, quark:stoneling, 50, 1, 1
4911, icy, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 10, 2, 3
4912, icy, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 10, 1, 2
4913, icy, minecraft:ice_spikes, CREATURE, earthmobsmod:wooly_cow, 10, 3, 6
4914, icy, minecraft:ice_spikes, CREATURE, earthmobsmod:umbra_cow, 10, 3, 6
4915, icy, minecraft:ice_spikes, CREATURE, cnb:yeti, 10, 2, 3
4916, icy, minecraft:ice_spikes, CREATURE, ars_nouveau:drygmy, 10, 1, 1
4917, icy, minecraft:ice_spikes, CREATURE, alexsmobs:froststalker, 20, 5, 7
4918, icy, minecraft:ice_spikes, CREATURE, alexsmobs:tusklin, 18, 3, 5
4919, icy, minecraft:ice_spikes, AMBIENT, minecraft:bat, 10, 8, 8
4920, icy, minecraft:ice_spikes, AMBIENT, alexsmobs:cockroach, 10, 5, 5
4921, icy, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
4922, icy, minecraft:ice_spikes, WATER_AMBIENT, sullysmod:lanternfish, 10, 1, 5
4923, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
4924, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
4925, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
4926, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
4927, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
4928, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
4929, icy, minecraft:ice_spikes, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
4930, desert, minecraft:desert, MONSTER, minecraft:spider, 50, 4, 4
4931, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
4932, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
4933, desert, minecraft:desert, MONSTER, minecraft:skeleton, 50, 4, 4
4934, desert, minecraft:desert, MONSTER, minecraft:creeper, 50, 4, 4
4935, desert, minecraft:desert, MONSTER, minecraft:slime, 50, 4, 4
4936, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
4937, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
4938, desert, minecraft:desert, MONSTER, minecraft:husk, 50, 4, 4
4939, desert, minecraft:desert, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
4940, desert, minecraft:desert, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
4941, desert, minecraft:desert, MONSTER, thermal:blitz, 10, 1, 3
4942, desert, minecraft:desert, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
4943, desert, minecraft:desert, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
4944, desert, minecraft:desert, MONSTER, savage_and_ravage:skeleton_villager, 10, 1, 1
4945, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 15, 1, 1
4946, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
4947, desert, minecraft:desert, MONSTER, quark:toretoise, 50, 2, 4
4948, desert, minecraft:desert, MONSTER, quark:stoneling, 50, 1, 1
4949, desert, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
4950, desert, minecraft:desert, CREATURE, earthmobsmod:jumbo_rabbit, 10, 3, 4
4951, desert, minecraft:desert, CREATURE, cnb:cactem, 10, 6, 13
4952, desert, minecraft:desert, CREATURE, cnb:lizard, 15, 1, 4
4953, desert, minecraft:desert, CREATURE, ars_nouveau:drygmy, 10, 1, 1
4954, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 10, 2, 2
4955, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
4956, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 10, 1, 1
4957, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
4958, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 10, 5, 5
4959, desert, minecraft:desert, AMBIENT, alexsmobs:jerboa, 12, 1, 3
4960, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
4961, desert, minecraft:desert, WATER_AMBIENT, sullysmod:lanternfish, 10, 1, 5
4962, desert, minecraft:desert, WATER_AMBIENT, aquaculture:synodontis, 20, 1, 6
4963, desert, minecraft:desert, WATER_AMBIENT, aquaculture:bayad, 10, 1, 2
4964, desert, minecraft:desert, WATER_AMBIENT, aquaculture:capitaine, 10, 1, 1
4965, desert, minecraft:desert, WATER_AMBIENT, aquaculture:boulti, 10, 1, 3
4966, desert, minecraft:desert, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
4967, swamp, minecraft:swamp, MONSTER, minecraft:spider, 50, 4, 4
4968, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 50, 4, 4
4969, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 10, 1, 1
4970, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 50, 4, 4
4971, swamp, minecraft:swamp, MONSTER, minecraft:creeper, 50, 4, 4
4972, swamp, minecraft:swamp, MONSTER, minecraft:slime, 50, 4, 4
4973, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 5, 1, 4
4974, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
4975, swamp, minecraft:swamp, MONSTER, minecraft:slime, 10, 1, 1
4976, swamp, minecraft:swamp, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
4977, swamp, minecraft:swamp, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
4978, swamp, minecraft:swamp, MONSTER, biomemakeover:decayed, 50, 1, 1
4979, swamp, minecraft:swamp, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
4980, swamp, minecraft:swamp, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
4981, swamp, minecraft:swamp, MONSTER, savage_and_ravage:skeleton_villager, 10, 1, 1
4982, swamp, minecraft:swamp, MONSTER, alexsmobs:centipede_head, 15, 1, 1
4983, swamp, minecraft:swamp, MONSTER, quark:toretoise, 50, 2, 4
4984, swamp, minecraft:swamp, MONSTER, quark:stoneling, 50, 1, 1
4985, swamp, minecraft:swamp, CREATURE, minecraft:sheep, 12, 4, 4
4986, swamp, minecraft:swamp, CREATURE, minecraft:pig, 10, 4, 4
4987, swamp, minecraft:swamp, CREATURE, minecraft:chicken, 10, 4, 4
4988, swamp, minecraft:swamp, CREATURE, minecraft:cow, 10, 4, 4
4989, swamp, minecraft:swamp, CREATURE, aquaculture:box_turtle, 10, 1, 2
4990, swamp, minecraft:swamp, CREATURE, biomemakeover:toad, 20, 2, 4
4991, swamp, minecraft:swamp, CREATURE, wildbackport:frog, 10, 2, 5
4992, swamp, minecraft:swamp, CREATURE, cnb:sporeling, 25, 3, 5
4993, swamp, minecraft:swamp, CREATURE, cnb:lilytad, 45, 1, 1
4994, swamp, minecraft:swamp, CREATURE, cnb:minipad, 20, 3, 6
4995, swamp, minecraft:swamp, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
4996, swamp, minecraft:swamp, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
4997, swamp, minecraft:swamp, CREATURE, ars_nouveau:drygmy, 10, 1, 1
4998, swamp, minecraft:swamp, CREATURE, alexsmobs:crocodile, 40, 1, 2
4999, swamp, minecraft:swamp, CREATURE, alexsmobs:shoebill, 10, 1, 2
5000, swamp, minecraft:swamp, CREATURE, alexsmobs:alligator_snapping_turtle, 20, 1, 2
5001, swamp, minecraft:swamp, CREATURE, alexsmobs:anaconda, 12, 1, 1
5002, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
5003, swamp, minecraft:swamp, AMBIENT, biomemakeover:dragonfly, 20, 3, 8
5004, swamp, minecraft:swamp, AMBIENT, biomemakeover:lightning_bug, 20, 1, 1
5005, swamp, minecraft:swamp, AMBIENT, alexsmobs:cockroach, 10, 5, 5
5006, swamp, minecraft:swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
5007, swamp, minecraft:swamp, WATER_CREATURE, minecraft:squid, 10, 1, 2
5008, swamp, minecraft:swamp, WATER_AMBIENT, sullysmod:lanternfish, 10, 1, 5
5009, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
5010, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
5011, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
5012, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
5013, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
5014, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
5015, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
5016, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
5017, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
5018, swamp, minecraft:swamp, WATER_AMBIENT, upgrade_aquatic:pike, 10, 1, 2
5019, swamp, minecraft:swamp, WATER_AMBIENT, upgrade_aquatic:perch, 10, 1, 6
5020, swamp, minecraft:swamp, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
5021, swamp, minecraft:swamp, WATER_AMBIENT, alexsmobs:catfish, 10, 1, 3
5022, forest, minecraft:forest, MONSTER, minecraft:spider, 50, 4, 4
5023, forest, minecraft:forest, MONSTER, minecraft:zombie, 50, 4, 4
5024, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
5025, forest, minecraft:forest, MONSTER, minecraft:skeleton, 50, 4, 4
5026, forest, minecraft:forest, MONSTER, minecraft:creeper, 50, 4, 4
5027, forest, minecraft:forest, MONSTER, minecraft:slime, 50, 4, 4
5028, forest, minecraft:forest, MONSTER, minecraft:enderman, 5, 1, 4
5029, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
5030, forest, minecraft:forest, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
5031, forest, minecraft:forest, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
5032, forest, minecraft:forest, MONSTER, earthmobsmod:skeleton_wolf, 10, 3, 4
5033, forest, minecraft:forest, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
5034, forest, minecraft:forest, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
5035, forest, minecraft:forest, MONSTER, savage_and_ravage:skeleton_villager, 10, 1, 1
5036, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 15, 1, 1
5037, forest, minecraft:forest, MONSTER, quark:toretoise, 50, 2, 4
5038, forest, minecraft:forest, MONSTER, quark:stoneling, 50, 1, 1
5039, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
5040, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
5041, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
5042, forest, minecraft:forest, CREATURE, minecraft:cow, 10, 4, 4
5043, forest, minecraft:forest, CREATURE, minecraft:wolf, 10, 4, 4
5044, forest, minecraft:forest, CREATURE, earthmobsmod:hyper_rabbit, 10, 3, 4
5045, forest, minecraft:forest, CREATURE, earthmobsmod:jumbo_rabbit, 10, 3, 4
5046, forest, minecraft:forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
5047, forest, minecraft:forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
5048, forest, minecraft:forest, CREATURE, ars_nouveau:drygmy, 10, 1, 1
5049, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
5050, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
5051, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 3, 5
5052, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
5053, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
5054, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
5055, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
5056, forest, minecraft:forest, WATER_AMBIENT, sullysmod:lanternfish, 10, 1, 5
5057, forest, minecraft:forest, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
5058, forest, minecraft:forest, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
5059, forest, minecraft:forest, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
5060, forest, minecraft:forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
5061, forest, minecraft:forest, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
5062, forest, minecraft:forest, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
